62|0.0000000000000000 0.0000000000000003 0.0000000000000002 -0.0000000000000003 0.0000000002925816 -0.0000000000000006 -0.0000000000000003 -0.0000000000000006 -0.0000000000000006 0.0000000000000008 0.0015181209892035
66|0.0000000000000008 0.0000000000000004 0.0000000000000012 -0.0000000000000003 0.0000000000258566 0.0000000000000006 0.0000000000000002 -0.0000000000000002 -0.0000000000000001 0.0000000000000000 0.0174580365419388
67|-0.0000000000000002 0.0000000000000002 0.0000000000000003 0.0000000000000006 -0.0000000000000006 -0.0000000000000000 -0.0000000000000001 0.0000000000000006 0.0000000000000001 0.0000000000000006 0.0024303314276040
32838|0.0000000000000005 0.0000000000000004 0.0000000000000004 0.0000000000000000 -0.0000000000000658 0.0000000000000008 0.0000000000000001 -0.0000000000000004 -0.0000000000000000 0.0000000000000002 0.0222215782850981
70|-0.0000000000000008 -0.0000000000000001 0.0000000000000004 0.0000000000000009 0.0000000537642322 0.0000000000000001 0.0000000000000001 0.0000000000000002 0.0000000000000004 -0.0000000000000003 -0.0033213077113032
72|-0.0000000000000004 0.0000000000000006 -0.0000000000000004 -0.0000000000000008 0.0000000000000134 0.0000000000000003 -0.0000000000000003 -0.0000000000000004 -0.0000000000000002 0.0000000000000007 0.0129613047465682
73|-0.0000000000000002 -0.0000000000000005 -0.0000000000000002 0.0000000000000007 -0.0000000000000002 -0.0000000000000009 -0.0000000000000002 -0.0000000000000001 0.0000000000000010 -0.0000000000000003 0.0155600402504206
74|0.0000000000000002 -0.0000000000000003 0.0000000000000000 0.0000000000000007 0.0000000000171066 0.0000000000000000 -0.0000000000000004 0.0000000000000003 0.0000000000000008 -0.0000000000000003 -0.0173237565904856
77|-0.0000000000000002 -0.0000000000000001 -0.0000000000000003 -0.0000000000000004 0.0000000000000313 -0.0000000000000007 -0.0000000000000003 0.0000000000000001 -0.0000000000000001 -0.0000000000000003 -0.0052198693156242
32846|-0.0000000000000008 -0.0000000000000003 -0.0000000000000000 0.0000000000000006 0.0000000000011453 0.0000000000000008 0.0000000000000009 0.0000000000000007 0.0000000000000000 -0.0000000000000001 0.0018114768899977
32845|-0.0000000000000009 0.0000000000000009 -0.0000000000000004 -0.0000000000000011 -0.0000000000000017 0.0000000000000001 0.0000000000000008 0.0000000000000001 0.0000000000000000 0.0000000000000015 0.0036137825809419
32847|-0.0000000000000001 0.0000000000000006 -0.0000000000000006 0.0000000000000003 0.0000000000000403 -0.0000000000000002 -0.0000000000000005 0.0000000000000007 0.0000000000000001 0.0000000000000002 0.0011491473997012
32849|-0.0000000000000017 -0.0000000000000001 0.0000000000000001 0.0000000000000003 -0.0000000000000002 -0.0000000000000006 0.0000000000000003 0.0000000000000001 0.0000000000000009 -0.0000000000000007 -0.0000507195945829
32850|0.0000000000000003 0.0000000000000002 -0.0000000000000007 0.0000000000000001 -0.0000000000000002 -0.0000000000000007 -0.0000000000000005 0.0000000000000001 -0.0000000000000006 0.0000000000000003 -0.0063118743710220
83|0.0000000000000003 -0.0000000000000006 -0.0000000000000000 0.0000000000000002 -0.0000000000000003 0.0000000000000002 -0.0000000000000004 0.0000000000000003 -0.0000000000000003 -0.0000000000000014 0.0009175349259749
